No,Desa/Kelurahan,Kecamatan,Luas Area,Skala
1,Ragung,Pangarengan,13,3
2,Jaddih,Socah,8,3
3,Parseh,Socah,6,3
4,Bilaporah,Socah,10,3
5,Keleyan,Socah,6,3
6,Bunten Barat,Ketapang,7,3
7,Pacentan,Tanah Merah,45327,3
8,Baipajung,Tanah Merah,45295,3
9,Kranggan Barat,Tanah Merah,45325,3
10,Paopale laok,Ketapang,16,3
11,Palenggiyen,Kedungdung,9,3
12,Pasarenan,Kedungdung,6,3
13,Daleman,Kedungdung,45357,3
14,Batu poro timur,Kedungdung,12,3
15,Planggiran,Tanjung Bumi,7,3
16,Tagungguh,Tanjung Bumi,10,3
17,Bandang Daya,Tanjung Bumi,6,3
18,Bungkeng,Tanjung Bumi,45630,3
19,Larangan Timur,Tanjung Bumi,45300,3
20,Batu poro barat,Kedungdung,11,3
21,Banyu Sangkah,Tanjung Bumi,7,3
22,Aengtabar,Tanjung Bumi,10,3
23,Kemoneng,Tragah,45323,3
24,Soket Laok,Tragah,7,3
25,Soket Daya,Tragah,45384,3
26,Pajeruan,Kedungdung,13,3
27,Ombul,Kedungdung,7,3
28,Pacangan,Tragah,45292,3
29,Banjar,Kedungdung,6,3
30,Sanggra Agung,Socah,6,3
31,Bunten Timur,Ketapang,7,3
32,Lepelle,Robatal,10,3
33,Pancor,Ketapang,13,3
34,Durjan,Kokop,18,3
35,Mano'An,Kokop,9,3
36,Mandung,Kokop,13,3
37,Bandang Laok,Kokop,12,3
38,Tramok,Kokop,45301,3
39,Katol Timur,Kokop,11,3
40,Dupok,Kokop,10,3
41,Durin Barat,Konang,6,3
42,Kanegarah,Konang,45324,3
43,Batokaban,Konang,45546,3
44,Durin Timur,Konang,20,3
45,Bandung,Konang,6,3
46,Konang,Konang,7,3
47,Sambiyan,Konang,45415,3
48,Genteng,Konang,13,3
49,Ketapang Laok,Ketapang,9,3
50,Ketapang Daya,Ketapang,9,3
51,Ketapang Timur,Ketapang,13,3
52,Bira Barat,Ketapang,9,3
53,Sendang Daya,Labang,45355,3
54,Pangereman,Ketapang,10,3
55,Neroh,Modung,45629,3
56,Serabi Barat,Modung,7,3
57,Patengteng,Modung,45395,3
58,Karanganyar,Modung,45631,3
59,Poreh,Karang penang,7,3
60,Karang Anyar,Ketapang,6,3
61,Nyeloh,Kedungdung,9,3
62,Robatal,Robatal,45605,3
