No,Desa/Kelurahan,Kecamatan,medsos,Skala
1,Pandan Lanjang,Arosbaya,0,0
2,Dalpenang,Sampang,1,0
3,Disanah,Sreseh,0,0
4,Sreseh,Sreseh,0,0
5,Taman  ,Sreseh,0,0
6,Labuhan,Sreseh,0,0
7,Noreh,Sreseh,0,0
8,Tamberu Timur,Sokobanah,0,0
9,Tamberu Barat,Sokobanah,1,0
10,Sokobanah Daya,Sokobanah,0,0
11,Sokobanah Tengah,Sokobanah,0,0
12,Tamberu Daya,Sokobanah,1,0
13,Tamberu Laok,Sokobanah,0,0
14,Sokobanah Laok,Sokobanah,0,0
15,Bira Timur,Sokobanah,1,0
16,Bira Tengah,Sokobanah,1,0
17,Tobai Timur,Sokobanah,0,0
18,Tobai Tengah,Sokobanah,0,0
19,Tobai Barat,Sokobanah,0,0
20,Pangelen,Sampang,0,0
21,Banyumas,Sampang,0,0
22,Kamoning,Sampang,0,0
23,Tanggumong,Sampang,0,0
24,Pakalongan,Sampang,0,0
25,Taman Sareh,Sampang,0,0
26,Baruh,Sampang,0,0
27,Panggung,Sampang,0,0
28,Marparan,Sreseh,0,0
29,Klobur,Sreseh,1,0
30,Labang,Sreseh,0,0
31,Birem,Tambelangan,0,0
32,Kara,Torjun,0,0
33,Kanjar,Torjun,0,0
34,Kodak,Torjun,0,0
35,Jeruk Porot,Torjun,0,0
36,Patapan,Torjun,0,0
37,Torjunan,Torjun,0,0
38,Bringin Nonggal,Torjun,0,0
39,Krampon,Torjun,0,0
40,Pangongsean,Torjun,0,0
41,Patarongan,Torjun,0,0
42,Dulang,Torjun,0,0
43,Banjar Billah,Tambelangan,0,0
44,Bundah,Sreseh,0,0
45,Somber,Tambelangan,0,0
46,Tambelangan,Tambelangan,0,0
47,Barung Gagah,Tambelangan,0,0
48,Mambulu Barat,Tambelangan,0,0
49,Bringin,Tambelangan,0,0
50,Samaran,Tambelangan,0,0
51,Karang Anyar,Tambelangan,0,0
52,Batorasang,Tambelangan,0,0
53,Junok,Sreseh,0,0
54,Plasah,Sreseh,0,0
55,Bangsah,Sreseh,0,0
56,Paseyan,Sampang,0,0
57,Gunung Sekar,Sampang,1,0
