No,Desa/Kelurahan,Kecamatan,pantai,Skala
1,Gunung Sekar,Sampang,6,3
2,Rong Tengah,Sampang,8,3
3,Kemayoran,Bangkalan,5,2
4,Demangan,Bangkalan,5,2
5,Pejagan,Bangkalan,5,2
6,Mlajah,Bangkalan,4,2
7,Klobur,Sreseh,2,1
8,Taddan,Camplong,2,1
9,Bancaran,Bangkalan,2,1
10,Dharma Camplong,Camplong,2,1
11,Ketapang Barat,Ketapang,2,1
12,Jaddih,Socah,2,1
13,Karang Dalem,Sampang,2,1
14,Geger,Geger,2,1
15,P.Mandangin,Sampang,2,1
16,Polagan,Sampang,3,1
17,Banyuanyar,Sampang,2,1
18,Bira Tengah,Sokobanah,2,1
19,Ketetang,Kwanyar,2,1
20,Dalpenang,Sampang,2,1
21,Burneh,Burneh,3,1
22,Rabiyan,Ketapang,2,1
23,Tambak,Omben,2,1
24,Batioh,Banyuates,2,1
25,Buduran,Arosbaya,2,1
26,Samaran,Tambelangan,0,0
27,Krampon,Torjun,0,0
28,Sokobanah Daya,Sokobanah,0,0
29,Dulang,Torjun,0,0
30,Sokobanah Tengah,Sokobanah,0,0
31,Tamberu Daya,Sokobanah,1,0
32,Tamberu Laok,Sokobanah,0,0
33,Sokobanah Laok,Sokobanah,0,0
34,Patarongan,Torjun,0,0
35,Bira Timur,Sokobanah,1,0
36,Pangongsean,Torjun,0,0
37,Torjunan,Torjun,0,0
38,Bringin Nonggal,Torjun,0,0
39,Birem,Tambelangan,0,0
40,Patapan,Torjun,0,0
41,Jeruk Porot,Torjun,0,0
42,Kodak,Torjun,0,0
43,Tobai Timur,Sokobanah,0,0
44,Tobai Tengah,Sokobanah,0,0
45,Tobai Barat,Sokobanah,0,0
46,Pangelen,Sampang,0,0
47,Tamberu Barat,Sokobanah,1,0
48,Noreh,Sreseh,0,0
49,Tamberu Timur,Sokobanah,0,0
50,Bundah,Sreseh,0,0
51,Karang Anyar,Tambelangan,0,0
52,Mambulu Barat,Tambelangan,0,0
53,Batorasang,Tambelangan,0,0
54,Junok,Sreseh,0,0
55,Plasah,Sreseh,0,0
56,Barung Gagah,Tambelangan,0,0
57,Bangsah,Sreseh,0,0
58,Kamoning,Sampang,0,0
59,Tambelangan,Tambelangan,0,0
60,Bringin,Tambelangan,0,0
61,Somber,Tambelangan,0,0
62,Labang,Sreseh,0,0
63,Banjar Billah,Tambelangan,0,0
64,Marparan,Sreseh,0,0
65,Disanah,Sreseh,0,0
66,Sreseh,Sreseh,0,0
67,Taman  ,Sreseh,0,0
68,Labuhan,Sreseh,0,0
69,Banyumas,Sampang,0,0
70,Pandan Lanjang,Arosbaya,0,0
71,Tanggumong,Sampang,0,0
72,Pakalongan,Sampang,0,0
73,Ja'ah,Tragah,0,0
74,Keteleng,Tragah,0,0
