No,Desa/Kelurahan,Kecamatan,Luas total area,Jarak ke ibu kota kecamatan,Jarak ke ibu kota kabupaten,Akomodasi. hotel. homestay,Restourant/Tempat makan,Jenis prasarana trasportasi,Jenis permukaan  jalan darat,Jumlah Menara Telepon Seluler,Media Online,Pantai/Danau,Failitas,Harga Tiket,Rating,Wisman,Wisnus
1,Pandan Lanjang,Arosbaya,1.36,2,12,0,0,Darat,Aspal/Beton,0,Tidak Ada,0,0,0,0,0,0
2,Batonaong,Arosbaya,5.13,8,20,0,0,Darat,Aspal/Beton,0,Tidak Ada,0,0,0,0,0,0
3,Glagga,Arosbaya,6.14,6,23,0,0,Darat,Aspal/Beton,0,Tidak Ada,0,0,0,0,0,0
4,Ombul,Arosbaya,3.98,5,22,0,0,Darat,Aspal/Beton,0,Tidak Ada,0,0,0,0,0,0
5,Balung,Arosbaya,3.61,4,16,0,0,Darat,Diperkeras (kerikil. batu. dll),1,Tidak Ada,0,1,0,0,0,0
6,Lajing,Arosbaya,6.72,2,12,0,0,Darat,Aspal/Beton,2,Tidak Ada,0,1,0,0,0,0
7,Tengket,Arosbaya,3.49,2,16,0,1,Darat,Aspal/Beton,2,Tidak Ada,0,1,0,0,0,0
8,Arosbaya,Arosbaya,1.83,1,17,0,1,Darat,Aspal/Beton,3,Tidak Ada,0,1,0,0,0,0
9,Karang Duwak,Arosbaya,4.27,4,22,0,0,Darat,Diperkeras (kerikil. batu. dll),0,Tidak Ada,0,1,0,0,0,0
10,Dlemer,Arosbaya,1.32,2,20,0,0,Darat,Aspal/Beton,0,Tidak Ada,0,0,0,0,0,0
11,Mangkon,Arosbaya,0.35,2,19,0,0,Darat,Aspal/Beton,0,Tidak Ada,0,1,0,0,0,0
12,Berbeluk,Arosbaya,2.54,3,20,0,0,Darat,Aspal/Beton,0,Tidak Ada,0,1,0,0,0,0
13,Cendagah,Arosbaya,1.36,3,19,0,0,Darat,Aspal/Beton,1,Tidak Ada,0,1,0,0,0,0
14,Karang Pao,Arosbaya,5.13,2,19,0,0,Darat,Aspal/Beton,0,Tidak Ada,0,0,0,0,0,0
15,Makam Agung,Arosbaya,6.14,3,14,0,0,Darat,Aspal/Beton,0,Tidak Ada,0,1,0,0,0,0
16,Plakaran,Arosbaya,3.98,1,13,0,0,Darat,Aspal/Beton,0,Tidak Ada,0,1,0,0,0,0
17,Buduran,Arosbaya,3.61,2,19,0,1,Darat,Aspal/Beton,1,Ada,2,3,30000,4.1,0,1750
18,Tambegan,Arosbaya,6.72,2,20,0,0,Darat,Aspal/Beton,0,Tidak Ada,0,0,0,0,0,0
19,Ujung Piring,Bangkalan,3.43,9,7,0,0,Darat,Aspal/Beton,1,Ada,1,3,10000,4.1,0,978
20,Sembilangan,Bangkalan,45537,9,8,0,0,Darat,Aspal/Beton,2,Ada,1,2,3000,3.9,0,1606
21,Kramat,Bangkalan,4.22,9,8,0,0,Darat,Aspal/Beton,2,Tidak Ada,0,0,0,0,0,0
22,Mertajasah,Bangkalan,0.91,4,2,1,1,Darat,Aspal/Beton,1,Ada,1,3,2000,5,50,607682
23,Mlajah,Bangkalan,6.00,5,1,0,6,Darat,Aspal/Beton,4,Ada,4,2,2000,4,0,29862
24,Kemayoran,Bangkalan,1.62,2,1,1,3,Darat,Aspal/Beton,3,Ada,5,1,30000,5,0,969
25,Pangeranan,Bangkalan,1.65,1,5,0,0,Darat,Aspal/Beton,1,Ada,1,2,10000,4.3,0,3212
26,Demangan,Bangkalan,0.55,1,2,2,2,Darat,Aspal/Beton,1,Ada,5,3,2000,4.3,4,23474
27,Keraton,Bangkalan,45413,1,6,2,3,Darat,Aspal/Beton,2,Ada,1,4,15000,5,0,607682
28,Pejagan,Bangkalan,1.34,2,4,4,1,Darat,Aspal/Beton,5,Ada,5,2,18000,4.5,0,626016
29,Bancaran,Bangkalan,5.89,5,7,0,3,Darat,Aspal/Beton,4,Ada,2,4,30000,4.2,0,3212
30,Sabiyan,Bangkalan,2.38,6,8,0,0,Darat,Aspal/Beton,2,Tidak Ada,0,0,0,0,0,0
31,Gebang,Bangkalan,3.31,6,8,0,0,Darat,Aspal/Beton,1,Tidak Ada,0,0,0,0,0,0
32,Gigir,Blega,8.16,7,38,0,0,Darat,Aspal/Beton,0,Tidak Ada,0,0,0,0,0,0
33,Ko'Olan,Blega,3.28,6,43,0,0,Darat,Aspal/Beton,0,Tidak Ada,0,0,0,0,0,0
34,Pangeran Gedungan,Blega,3.62,5,42,0,0,Darat,Aspal/Beton,0,Tidak Ada,0,0,0,0,0,0
35,Panjalinan,Blega,3.57,4,45,0,0,Darat,Aspal/Beton,1,Tidak Ada,0,0,0,0,0,0
36,Rosep,Blega,3.28,2,42,0,2,Darat,Aspal/Beton,0,Tidak Ada,0,0,0,0,0,0
37,Kampao,Blega,45384,4,39,0,0,Darat,Aspal/Beton,0,Tidak Ada,0,0,0,0,0,0
38,Lombang Laok,Blega,2.67,4,40,0,1,Darat,Aspal/Beton,0,Tidak Ada,0,0,0,0,0,0
39,Lombang Daya,Blega,9.50,6,37,0,0,Darat,Aspal/Beton,2,Tidak Ada,0,0,0,0,0,0
40,Karpote,Blega,5.71,2,38,0,1,Darat,Aspal/Beton,0,Tidak Ada,0,0,0,0,0,0
41,Blegaoloh,Blega,1.44,3,40,0,0,Darat,Aspal/Beton,0,Tidak Ada,0,0,0,0,0,0
42,Karang Gayam,Blega,4.84,4,45,1,3,Darat,Aspal/Beton,0,Tidak Ada,0,0,0,0,0,0
43,Lomaer,Blega,6.14,5,45,0,0,Darat,Aspal/Beton,1,Tidak Ada,0,0,0,0,0,0
44,Bates,Blega,5.28,6,53,0,0,Darat,Aspal/Beton,1,Tidak Ada,0,0,0,0,0,0
45,Karang Panasan,Blega,2.69,3,44,0,3,Darat,Aspal/Beton,0,Tidak Ada,0,0,0,0,0,0
46,Karangnangka,Blega,4.28,3,42,0,0,Darat,Aspal/Beton,0,Tidak Ada,0,0,0,0,0,0
47,Blega,Blega,7.00,1,39,0,9,Darat,Aspal/Beton,4,Tidak Ada,0,0,0,0,0,0
48,Nyor Manis,Blega,5.39,2,42,0,0,Darat,Aspal/Beton,0,Tidak Ada,0,0,0,0,0,0
