No,Desa/Kelurahan,Kecamatan,Akomodasi (Jumlah),Skala
1,Kamoning,Sampang,6,3
2,P.Mandangin,Sampang,38,3
3,Pejagan,Bangkalan,4,2
4,Keraton,Bangkalan,2,1
5,Demangan,Bangkalan,2,1
6,Pandan Lanjang,Arosbaya,0,0
7,Sokobanah Tengah,Sokobanah,0,0
8,Marparan,Sreseh,0,0
9,Disanah,Sreseh,0,0
10,Sreseh,Sreseh,0,0
11,Taman  ,Sreseh,0,0
12,Labuhan,Sreseh,0,0
13,Noreh,Sreseh,0,0
14,Tamberu Timur,Sokobanah,0,0
15,Tamberu Barat,Sokobanah,0,0
16,Sokobanah Daya,Sokobanah,0,0
17,Tamberu Laok,Sokobanah,0,0
18,Tamberu Daya,Sokobanah,0,0
19,Labang,Sreseh,0,0
20,Sokobanah Laok,Sokobanah,0,0
21,Bira Timur,Sokobanah,0,0
22,Bira Tengah,Sokobanah,0,0
23,Tobai Timur,Sokobanah,0,0
24,Tobai Tengah,Sokobanah,0,0
25,Tobai Barat,Sokobanah,0,0
26,Pangelen,Sampang,0,0
27,Banyumas,Sampang,0,0
28,Tanggumong,Sampang,1,0
29,Pakalongan,Sampang,0,0
30,Taman Sareh,Sampang,0,0
31,Klobur,Sreseh,0,0
32,Bangsah,Sreseh,0,0
33,Bundah,Sreseh,0,0
34,Dulang,Torjun,0,0
35,Tana Mera,Torjun,0,0
36,Kara,Torjun,0,0
37,Kanjar,Torjun,0,0
38,Kodak,Torjun,0,0
39,Jeruk Porot,Torjun,0,0
40,Patapan,Torjun,0,0
41,Torjunan,Torjun,0,0
42,Bringin Nonggal,Torjun,0,0
43,Krampon,Torjun,0,0
44,Pangongsean,Torjun,0,0
45,Patarongan,Torjun,0,0
46,Birem,Tambelangan,0,0
47,Panggung,Sampang,0,0
48,Banjar Billah,Tambelangan,0,0
49,Somber,Tambelangan,0,0
50,Tambelangan,Tambelangan,0,0
51,Barung Gagah,Tambelangan,0,0
