No,Desa/Kelurahan,Kecamatan,fasilitas,Skala
1,Dalpenang,Sampang,5,2
2,Tamberu Daya,Sokobanah,4,2
3,Ketapang Daya,Ketapang,5,2
4,Jaddih,Socah,4,2
5,P.Mandangin,Sampang,4,2
6,Bancaran,Bangkalan,4,2
7,Banyuanyar,Sampang,4,2
8,Keraton,Bangkalan,4,2
9,Karang Dalem,Sampang,4,2
10,Kramat,Kedungdung,4,2
11,Banyubunih,Galis,4,2
12,Morkepek,Labang,4,2
13,Bira Tengah,Sokobanah,4,2
14,Ketapang Laok,Ketapang,4,2
15,Kwanyar Barat,Kwanyar,4,2
16,Kamal,Kamal,4,2
17,Klobur,Sreseh,5,2
18,Pangarengan,Pangarengan,4,2
19,Bator,Klampis,3,1
20,Pernajuh,Socah,2,1
21,Parseh,Socah,3,1
22,Montor,Banyuates,3,1
23,Batioh,Banyuates,2,1
24,Manggaan,Modung,2,1
25,Polagan,Sampang,3,1
26,Genteng,Konang,2,1
27,Ketetang,Kwanyar,3,1
28,Tamberu Barat,Sokobanah,3,1
29,Rong Tengah,Sampang,3,1
30,Taddan,Camplong,3,1
31,Tambaan,Camplong,2,1
32,Dharma Camplong,Camplong,3,1
33,Daleman,Galis,2,1
34,Rabiyan,Ketapang,2,1
35,Bira Timur,Sokobanah,3,1
36,Geger,Geger,2,1
37,Gng Maddah,Sampang,3,1
38,Durjan,Kokop,3,1
39,Buduran,Arosbaya,3,1
40,Patemon,Tanah Merah,3,1
41,Ujung Piring,Bangkalan,3,1
42,Sembilangan,Bangkalan,2,1
43,Temoran,Omben,3,1
44,Mertajasah,Bangkalan,3,1
45,Mlajah,Bangkalan,2,1
46,Tanjung Bumi,Tanjung Bumi,2,1
47,Pangeranan,Bangkalan,2,1
48,Demangan,Bangkalan,3,1
49,Pejagan,Bangkalan,2,1
50,Tambak,Omben,2,1
51,Pocong,Tragah,3,1
52,Napolaok,Omben,2,1
53,Kemoneng,Tragah,0,0
54,Tlangoh,Tanjung Bumi,0,0
55,Banyu Sangkah,Tanjung Bumi,0,0
