No,Desa/Kelurahan,Kecamatan,hargatiket,Skala
1,Pandan Lanjang,Arosbaya,0,3
2,Tobai Tengah,Sokobanah,0,3
3,Labuhan,Sreseh,0,3
4,Noreh,Sreseh,0,3
5,Tamberu Timur,Sokobanah,0,3
6,Tamberu Barat,Sokobanah,0,3
7,Sokobanah Daya,Sokobanah,0,3
8,Sokobanah Tengah,Sokobanah,0,3
9,Tamberu Daya,Sokobanah,0,3
10,Tamberu Laok,Sokobanah,0,3
11,Sokobanah Laok,Sokobanah,0,3
12,Bira Timur,Sokobanah,2000,3
13,Tobai Timur,Sokobanah,0,3
14,Tobai Barat,Sokobanah,0,3
15,Petrah,Tanah Merah,0,3
16,Pangelen,Sampang,0,3
17,Banyumas,Sampang,0,3
18,Kamoning,Sampang,0,3
19,Tanggumong,Sampang,0,3
20,Pakalongan,Sampang,0,3
21,Taman Sareh,Sampang,0,3
22,Baruh,Sampang,0,3
23,Panggung,Sampang,0,3
24,Paseyan,Sampang,0,3
25,Gng Maddah,Sampang,0,3
26,Polagan,Sampang,2000,3
27,Taman  ,Sreseh,0,3
28,Sreseh,Sreseh,0,3
29,Disanah,Sreseh,0,3
30,Marparan,Sreseh,0,3
31,Patapan,Torjun,0,3
32,Torjunan,Torjun,0,3
33,Bringin Nonggal,Torjun,0,3
34,Krampon,Torjun,0,3
35,Pangongsean,Torjun,0,3
36,Patarongan,Torjun,0,3
37,Dulang,Torjun,0,3
38,Birem,Tambelangan,0,3
39,Banjar Billah,Tambelangan,0,3
40,Somber,Tambelangan,0,3
41,Tambelangan,Tambelangan,0,3
42,Barung Gagah,Tambelangan,0,3
43,Mambulu Barat,Tambelangan,0,3
44,Bringin,Tambelangan,0,3
45,Samaran,Tambelangan,0,3
46,Karang Anyar,Tambelangan,0,3
47,Batorasang,Tambelangan,0,3
48,Junok,Sreseh,0,3
49,Plasah,Sreseh,0,3
50,Bangsah,Sreseh,0,3
51,Bundah,Sreseh,0,3
52,Labang,Sreseh,0,3
53,Klobur,Sreseh,2000,3
54,Aeng Sareh,Sampang,0,3
55,Pandiyangan,Robatal,0,3
56,Gunung Rancak,Robatal,0,3
57,Tlangoh,Tanjung Bumi,0,3
58,Telaga Biru,Tanjung Bumi,0,3
59,Paseseh,Tanjung Bumi,0,3
60,Bumi Anyar,Tanjung Bumi,0,3
61,Tambak Pocok,Tanjung Bumi,0,3
62,Larangan Timur,Tanjung Bumi,0,3
63,Bungkeng,Tanjung Bumi,0,3
64,Bandang Daya,Tanjung Bumi,0,3
65,Tagungguh,Tanjung Bumi,0,3
66,Planggiran,Tanjung Bumi,0,3
67,Basanah,Tanah Merah,0,3
68,Poter,Tanah Merah,0,3
69,Buddan,Tanah Merah,0,3
70,Mrecah,Tanah Merah,0,3
71,Dlamba Laok,Tanah Merah,0,3
72,Dlambah Dajah,Tanah Merah,0,3
73,Batangan,Tanah Merah,0,3
74,Batonaong,Arosbaya,0,3
75,Landak,Tanah Merah,0,3
76,Pettong,Tanah Merah,0,3
77,Jangkar,Tanah Merah,0,3
78,Kendaban,Tanah Merah,0,3
79,Tlomar,Tanah Merah,0,3
80,Dumajah,Tanah Merah,0,3
81,Tanjung Bumi,Tanjung Bumi,0,3
82,Banyu Sangkah,Tanjung Bumi,0,3
83,Jelgung,Robatal,0,3
84,Aengtabar,Tanjung Bumi,0,3
85,Tragih,Robatal,0,3
86,Torjunan,Robatal,0,3
87,Sawah tengah,Robatal,0,3
88,Robatal,Robatal,0,3
89,Lepelle,Robatal,0,3
90,Bepelle,Robatal,0,3
91,Pamorah,Tragah,0,3
92,Banyu Bese,Tragah,0,3
93,Jaddung,Tragah,0,3
94,Dukotambin,Tragah,0,3
95,Karang Leman,Tragah,0,3
96,Tragah,Tragah,0,3
97,Pacangan,Tragah,0,3
98,Masaran,Tragah,0,3
99,Bancang,Tragah,0,3
100,Ja'ah,Tragah,0,3
101,Keteleng,Tragah,0,3
102,Soket Daya,Tragah,0,3
103,Tambin,Tragah,0,3
104,Bajeman,Tragah,0,3
105,Soket Laok,Tragah,0,3
106,Kemoneng,Tragah,0,3
107,Alang Alang,Tragah,0,3
108,Jeruk Porot,Torjun,0,3
109,Kodak,Torjun,0,3
110,Kanjar,Torjun,0,3
111,Banyu Sokah,Ketapang,0,3
112,Ketapang Barat,Ketapang,0,3
113,Ketapang Timur,Ketapang,0,3
114,Bira Barat,Ketapang,0,3
115,Pangereman,Ketapang,0,3
116,Karang Anyar,Ketapang,0,3
117,Pancor,Ketapang,0,3
118,Bunten Timur,Ketapang,0,3
119,Bunten Barat,Ketapang,0,3
120,Paopale laok,Ketapang,0,3
121,Palenggiyen,Kedungdung,0,3
122,Pasarenan,Kedungdung,0,3
123,Daleman,Kedungdung,0,3
124,Gunung Eleh,Kedungdung,0,3
125,Batu poro timur,Kedungdung,0,3
126,Batu poro barat,Kedungdung,0,3
127,Kedungdung,Kedungdung,0,3
128,Pajeruan,Kedungdung,0,3
129,Ombul,Kedungdung,0,3
130,Banjar,Kedungdung,0,3
131,Nyeloh,Kedungdung,0,3
132,Bajrasokah,Kedungdung,0,3
133,Muktesareh,Kedungdung,0,3
134,Rahayu,Kedungdung,0,3
135,Paopale Daya,Ketapang,0,3
136,Kebun Sareh,Omben,0,3
137,Banyukapah,Kedungdung,0,3
138,Karang Nangger,Omben,0,3
139,Pacanggaan,Pangarengan,0,3
140,Penyerangan,Pangarengan,0,3
141,Gulbung,Pangarengan,0,3
142,Apaaan,Pangarengan,0,3
143,Pangarengan,Pangarengan,2000,3
144,Karang Gayam,Omben,0,3
145,Rapa Daya,Omben,0,3
146,Pandan,Omben,0,3
147,Rongdalem,Omben,0,3
148,Rapalaok,Omben,0,3
149,Angsokah,Omben,0,3
150,Jrangoan,Omben,0,3
151,Napo Daya,Omben,0,3
152,Sogiyan,Omben,0,3
153,Omben,Omben,0,3
154,Temoran,Omben,2000,3
155,Tambak,Omben,0,3
