No,Desa/Kelurahan,Kecamatan,jarak_kab,Skala
1,Pandan Lanjang,Arosbaya,12,3
2,Tamberu Laok,Sokobanah,62,3
3,Marparan,Sreseh,34,3
4,Disanah,Sreseh,29,3
5,Sreseh,Sreseh,49,3
6,Taman  ,Sreseh,45,3
7,Labuhan,Sreseh,37,3
8,Noreh,Sreseh,35,3
9,Tamberu Timur,Sokobanah,67,3
10,Tamberu Barat,Sokobanah,62,3
11,Sokobanah Daya,Sokobanah,59,3
12,Sokobanah Tengah,Sokobanah,67,3
13,Tamberu Daya,Sokobanah,66,3
14,Sokobanah Laok,Sokobanah,55,3
15,Labang,Sreseh,34,3
16,Bira Timur,Sokobanah,62,3
17,Bira Tengah,Sokobanah,61,3
18,Tobai Timur,Sokobanah,44,3
19,Tobai Tengah,Sokobanah,51,3
20,Tobai Barat,Sokobanah,47,3
21,Pangelen,Sampang,9,3
22,Banyumas,Sampang,8,3
23,Kamoning,Sampang,6,3
24,Pakalongan,Sampang,9,3
25,Taman Sareh,Sampang,7,3
26,Baruh,Sampang,7,3
27,Klobur,Sreseh,34,3
28,Bundah,Sreseh,30,3
29,Tlomar,Tanah Merah,15,3
30,Dulang,Torjun,7,3
31,Planggaran Barat,Banyuates,36,3
32,Olor,Banyuates,46,3
33,Tana Mera,Torjun,12,3
34,Kara,Torjun,12,3
35,Kanjar,Torjun,9,3
36,Kodak,Torjun,9,3
37,Jeruk Porot,Torjun,9,3
38,Patapan,Torjun,6,3
39,Torjunan,Torjun,6,3
40,Bringin Nonggal,Torjun,9,3
41,Krampon,Torjun,8,3
42,Birem,Tambelangan,33,3
43,Bangsah,Sreseh,31,3
44,Banjar Billah,Tambelangan,32,3
45,Somber,Tambelangan,28,3
46,Tambelangan,Tambelangan,27,3
47,Barung Gagah,Tambelangan,29,3
48,Mambulu Barat,Tambelangan,30,3
49,Bringin,Tambelangan,30,3
50,Samaran,Tambelangan,23,3
51,Karang Anyar,Tambelangan,21,3
52,Batorasang,Tambelangan,26,3
53,Junok,Sreseh,33,3
54,Plasah,Sreseh,31,3
55,Panggung,Sampang,6,3
56,Aeng Sareh,Sampang,6,3
57,P.Mandangin,Sampang,17,3
58,Tagungguh,Tanjung Bumi,46,3
59,Banyu Sangkah,Tanjung Bumi,48,3
60,Tlangoh,Tanjung Bumi,48,3
61,Macajah,Tanjung Bumi,44,3
62,Tanjung Bumi,Tanjung Bumi,38,3
63,Telaga Biru,Tanjung Bumi,37,3
64,Paseseh,Tanjung Bumi,36,3
65,Bumi Anyar,Tanjung Bumi,48,3
66,Tambak Pocok,Tanjung Bumi,50,3
67,Larangan Timur,Tanjung Bumi,42,3
68,Bungkeng,Tanjung Bumi,48,3
69,Bandang Daya,Tanjung Bumi,43,3
70,Planggiran,Tanjung Bumi,45,3
71,Pandiyangan,Robatal,29,3
72,Basanah,Tanah Merah,12,3
73,Poter,Tanah Merah,12,3
74,Buddan,Tanah Merah,10,3
75,Mrecah,Tanah Merah,12,3
76,Dlamba Laok,Tanah Merah,15,3
77,Dlambah Dajah,Tanah Merah,16,3
78,Batangan,Tanah Merah,15,3
79,Batonaong,Arosbaya,20,3
80,Landak,Tanah Merah,29,3
81,Pettong,Tanah Merah,21,3
82,Jangkar,Tanah Merah,22,3
83,Aengtabar,Tanjung Bumi,43,3
84,Alang Alang,Tragah,13,3
85,Kemoneng,Tragah,11,3
86,Soket Laok,Tragah,14,3
87,Gunung Rancak,Robatal,33,3
88,Jelgung,Robatal,27,3
89,Tragih,Robatal,27,3
90,Torjunan,Robatal,24,3
91,Sawah tengah,Robatal,20,3
92,Robatal,Robatal,30,3
93,Lepelle,Robatal,31,3
94,Bepelle,Robatal,19,3
95,Pamorah,Tragah,9,3
96,Banyu Bese,Tragah,15,3
97,Jaddung,Tragah,10,3
98,Dukotambin,Tragah,13,3
99,Karang Leman,Tragah,12,3
100,Tragah,Tragah,10,3
101,Pocong,Tragah,10,3
102,Pacangan,Tragah,12,3
103,Masaran,Tragah,12,3
104,Bancang,Tragah,12,3
105,Ja'ah,Tragah,12,3
106,Keteleng,Tragah,13,3
107,Soket Daya,Tragah,14,3
108,Tambin,Tragah,13,3
109,Bajeman,Tragah,17,3
110,Planggaran Timur,Banyuates,33,3
111,Tolang,Banyuates,33,3
112,Lar-lar,Banyuates,31,3
113,Paopale laok,Ketapang,48,3
114,Paopale Daya,Ketapang,43,3
115,Ketapang Barat,Ketapang,39,3
116,Ketapang Laok,Ketapang,37,3
117,Ketapang Daya,Ketapang,47,3
118,Ketapang Timur,Ketapang,53,3
119,Bira Barat,Ketapang,58,3
120,Pangereman,Ketapang,62,3
121,Karang Anyar,Ketapang,63,3
122,Pancor,Ketapang,51,3
123,Bunten Timur,Ketapang,46,3
124,Bunten Barat,Ketapang,43,3
125,Palenggiyen,Kedungdung,18,3
126,Rahayu,Kedungdung,14,3
127,Pasarenan,Kedungdung,18,3
128,Daleman,Kedungdung,16,3
129,Gunung Eleh,Kedungdung,19,3
130,Batu poro timur,Kedungdung,17,3
131,Batu poro barat,Kedungdung,15,3
132,Kedungdung,Kedungdung,14,3
133,Pajeruan,Kedungdung,20,3
134,Ombul,Kedungdung,18,3
135,Banjar,Kedungdung,22,3
136,Nyeloh,Kedungdung,18,3
137,Bajrasokah,Kedungdung,16,3
138,Rabiyan,Ketapang,42,3
139,Banyu Sokah,Ketapang,45,3
140,Kebun Sareh,Omben,10,3
141,Karang Nangger,Omben,12,3
142,Pacanggaan,Pangarengan,13,3
143,Penyerangan,Pangarengan,9,3
144,Gulbung,Pangarengan,7,3
145,Apaaan,Pangarengan,9,3
146,Pangarengan,Pangarengan,11,3
147,Karang Gayam,Omben,20,3
148,Rapa Daya,Omben,16,3
149,Pandan,Omben,17,3
150,Rongdalem,Omben,17,3
151,Rapalaok,Omben,14,3
152,Angsokah,Omben,14,3
153,Jrangoan,Omben,17,3
154,Napo Daya,Omben,15,3
155,Sogiyan,Omben,12,3
156,Omben,Omben,14,3
157,Temoran,Omben,17,3
158,Tambak,Omben,22,3
159,Kamondung,Omben,17,3
160,Madulang,Omben,20,3
161,Meteng,Omben,19,3
162,Gersempal,Omben,13,3
163,Astapah,Omben,9,3
164,Napolaok,Omben,13,3
165,Muktesareh,Kedungdung,13,3
166,Rabasan,Kedungdung,13,3
167,Tragah,Banyuates,42,3
168,Jatra Timur,Banyuates,56,3
169,Banjar Tabulu,Camplong,15,3
170,Rabasan,Camplong,19,3
171,Dharma Tanjung,Camplong,19,3
172,Sejati,Camplong,19,3
173,Batu Karang,Camplong,17,3
174,Dharma Camplong,Camplong,15,3
175,Prajjan,Camplong,14,3
176,Tambaan,Camplong,12,3
177,Banjar Talela,Camplong,10,3
178,Taddan,Camplong,8,3
179,Trapang,Banyuates,58,3
180,Banyuates,Banyuates,53,3
181,Banyukapah,Kedungdung,8,3
182,Masaran,Banyuates,52,3
183,Batioh,Banyuates,50,3
184,Nepa,Banyuates,48,3
185,Tebanah,Banyuates,52,3
186,Montor,Banyuates,53,3
187,Morbatoh,Banyuates,55,3
188,Kambang Jeruk,Banyuates,58,3
189,Asem Jaran,Banyuates,60,3
190,Terosan,Banyuates,63,3
191,Tapaan,Banyuates,61,3
192,Nagasareh,Banyuates,55,3
193,Anggersek,Camplong,11,3
194,Madupat,Camplong,16,3
195,Pamolaan,Camplong,14,3
196,Plampaan,Camplong,24,3
197,Komis,Kedungdung,10,3
198,Kramat,Kedungdung,10,3
199,Karang penang oloh,Karang penang,31,3
200,Poreh,Karang penang,36,3
201,Bulmatet,Karang penang,32,3
202,Karang penang onjur,Karang penang,28,3
203,Gunung Kesan,Karang penang,32,3
204,Tlambah,Karang penang,22,3
205,Bluuran,Karang penang,22,3
206,Panyepen,Jrengik,17,3
