No,Desa/Kelurahan,Kecamatan,jarak_kecamatan,Skala
1,Rongdurin,Tanah Merah,6,3
2,Sokobanah Tengah,Sokobanah,6,3
3,Katol Timur,Kokop,7,3
4,Mambulu Barat,Tambelangan,6,3
5,Bringin,Tambelangan,6,3
6,Batorasang,Tambelangan,7,3
7,Galis Daya,Konang,14,3
8,Durin Barat,Konang,12,3
9,Kanegarah,Konang,14,3
10,Batokaban,Konang,20,3
11,Durin Timur,Konang,10,3
12,Junok,Sreseh,14,3
13,Plasah,Sreseh,12,3
14,Bangsah,Sreseh,12,3
15,Bundah,Sreseh,9,3
16,Labang,Sreseh,6,3
17,Sambiyan,Konang,8,3
18,Cangkarman,Konang,13,3
19,Genteng,Konang,8,3
20,Marparan,Sreseh,6,3
21,Disanah,Sreseh,28,3
22,Sreseh,Sreseh,6,3
23,Batah Barat,Kwanyar,6,3
24,Batah Timur,Kwanyar,6,3
25,Duwek Buter,Kwanyar,6,3
26,Banjar Billah,Tambelangan,6,3
27,Mandung,Kokop,14,3
28,Mano'An,Kokop,17,3
29,Olor,Banyuates,11,3
30,Nagasareh,Banyuates,9,3
31,Muarah,Klampis,6,3
32,Tragah,Banyuates,9,3
33,Lar-lar,Banyuates,17,3
34,Bantean,Klampis,7,3
35,Bragang,Klampis,6,3
36,Batonaong,Arosbaya,8,3
37,Tolang,Banyuates,15,3
38,Planggaran Timur,Banyuates,11,3
39,Planggaran Barat,Banyuates,9,3
40,Tana Mera,Torjun,7,3
41,Durjan,Kokop,23,3
42,Bulung,Klampis,7,3
43,Kara,Torjun,6,3
44,Kanjar,Torjun,7,3
45,Tobaddung,Klampis,7,3
46,Kodak,Torjun,7,3
47,Birem,Tambelangan,8,3
48,Lembung Gunung,Kokop,8,3
49,Ampara'an,Kokop,10,3
50,Kokop,Kokop,9,3
51,Tlokoh,Kokop,14,3
52,Pandanan,Kwanyar,6,3
53,Tamberu Daya,Sokobanah,11,3
54,Pendabah,Kamal,7,3
55,Tamberu Laok,Sokobanah,15,3
56,Manggaan,Modung,15,3
57,Glisgis,Modung,15,3
58,Pakong,Modung,22,3
59,Alaskokon,Modung,22,3
60,Bepelle,Robatal,8,3
61,Aengtabar,Tanjung Bumi,10,3
62,Sanggra Agung,Socah,7,3
63,Parseh,Socah,9,3
64,Banyu Sangkah,Tanjung Bumi,10,3
65,Tlangoh,Tanjung Bumi,8,3
66,Bumi Anyar,Tanjung Bumi,15,3
67,Tambak Pocok,Tanjung Bumi,10,3
68,Pacentan,Tanah Merah,6,3
69,Larangan Timur,Tanjung Bumi,11,3
70,Bungkeng,Tanjung Bumi,10,3
71,Bandang Daya,Tanjung Bumi,13,3
72,Tagungguh,Tanjung Bumi,10,3
73,Poter,Tanah Merah,6,3
74,Buddan,Tanah Merah,8,3
75,Dlamba Laok,Tanah Merah,9,3
76,Dlambah Dajah,Tanah Merah,9,3
77,Batangan,Tanah Merah,11,3
78,Pettong,Tanah Merah,8,3
79,Karanganyar,Modung,11,3
80,Brakas Dajah,Modung,13,3
81,Modung,Modung,10,3
82,Pakalongan,Sampang,9,3
83,Sokobanah Laok,Sokobanah,8,3
84,Bira Timur,Sokobanah,8,3
85,Gunung Sereng,Kwanyar,8,3
86,Bira Tengah,Sokobanah,6,3
87,Tobai Timur,Sokobanah,9,3
88,Tobai Tengah,Sokobanah,11,3
89,Tobai Barat,Sokobanah,18,3
90,Pangelen,Sampang,9,3
91,Banyumas,Sampang,8,3
92,Kamoning,Sampang,6,3
93,Taman Sareh,Sampang,7,3
94,Suwaan,Modung,10,3
95,Baruh,Sampang,8,3
96,Sendang Laok,Labang,6,3
97,Sendang Daya,Labang,7,3
98,Petapan,Labang,8,3
99,Panggung,Sampang,6,3
100,Aeng Sareh,Sampang,8,3
101,P.Mandangin,Sampang,18,3
102,Gunung Rancak,Robatal,7,3
103,Sawah tengah,Robatal,6,3
104,Langpanggang,Modung,8,3
105,Tolbuk,Klampis,6,3
106,Lergunong,Klampis,6,3
107,Tapaan,Banyuates,6,3
108,Pekadan,Galis,6,3
109,Bunten Timur,Ketapang,9,3
110,Bunten Barat,Ketapang,6,3
111,Paopale laok,Ketapang,7,3
112,Palenggiyen,Kedungdung,8,3
113,Lombang Daya,Blega,6,3
114,Gunung Eleh,Kedungdung,6,3
115,Pajeruan,Kedungdung,6,3
116,Bates,Blega,6,3
117,Ombul,Kedungdung,6,3
118,Banjar,Kedungdung,7,3
119,Nyeloh,Kedungdung,9,3
120,Banyukapah,Kedungdung,6,3
121,Kajan,Blega,7,3
122,Terosan,Banyuates,9,3
123,Bulmatet,Karang penang,6,3
124,Gunung Kesan,Karang penang,7,3
125,Pangolangan,Burneh,6,3
126,Perreng,Burneh,7,3
127,Alas Kembang,Burneh,8,3
128,Ko'Olan,Blega,6,3
129,Gigir,Blega,7,3
130,Gebang,Bangkalan,6,3
131,Ujung Piring,Bangkalan,9,3
132,Glagga,Arosbaya,6,3
133,Karang Gayam,Omben,6,3
134,Napo Daya,Omben,6,3
135,Kamondung,Omben,6,3
136,Madulang,Omben,6,3
137,Astapah,Omben,6,3
138,Napolaok,Omben,7,3
139,Karang Nangger,Omben,6,3
140,Sembilangan,Bangkalan,9,3
141,Sabiyan,Bangkalan,6,3
142,Kramat,Bangkalan,9,3
143,Kebun Sareh,Omben,10,3
