No,Desa/Kelurahan,Kecamatan,kondisi_jalan,Skala
1,Pandan Lanjang,Arosbaya,1,3.0
2,Pangelen,Sampang,1,3.0
3,Kamoning,Sampang,1,3.0
4,Tanggumong,Sampang,1,3.0
5,Pakalongan,Sampang,1,3.0
6,Taman Sareh,Sampang,1,3.0
7,Baruh,Sampang,1,3.0
8,Panggung,Sampang,1,3.0
9,Paseyan,Sampang,1,3.0
10,Dalpenang,Sampang,1,3.0
11,Gunung Sekar,Sampang,1,3.0
12,Karang Dalem,Sampang,1,3.0
13,Rong Tengah,Sampang,1,3.0
14,Gng Maddah,Sampang,1,3.0
15,Banyuanyar,Sampang,1,3.0
16,Polagan,Sampang,1,3.0
17,Aeng Sareh,Sampang,1,3.0
18,P.Mandangin,Sampang,1,3.0
19,Pandiyangan,Robatal,1,3.0
20,Gunung Rancak,Robatal,1,3.0
21,Jelgung,Robatal,1,3.0
22,Tragih,Robatal,1,3.0
23,Torjunan,Robatal,1,3.0
24,Sawah tengah,Robatal,1,3.0
25,Robatal,Robatal,1,3.0
26,Banyumas,Sampang,1,3.0
27,Tobai Barat,Sokobanah,1,3.0
28,Bringin,Tambelangan,1,3.0
29,Tobai Tengah,Sokobanah,1,3.0
30,Karang Anyar,Tambelangan,1,3.0
31,Batorasang,Tambelangan,1,3.0
32,Junok,Sreseh,1,3.0
33,Plasah,Sreseh,1,3.0
34,Bangsah,Sreseh,1,3.0
35,Bundah,Sreseh,1,3.0
36,Labang,Sreseh,1,3.0
37,Klobur,Sreseh,1,3.0
38,Disanah,Sreseh,1,3.0
39,Sreseh,Sreseh,1,3.0
40,Taman  ,Sreseh,1,3.0
41,Labuhan,Sreseh,1,3.0
42,Noreh,Sreseh,1,3.0
43,Tamberu Timur,Sokobanah,1,3.0
44,Tamberu Barat,Sokobanah,1,3.0
45,Sokobanah Daya,Sokobanah,1,3.0
46,Sokobanah Tengah,Sokobanah,1,3.0
47,Tamberu Daya,Sokobanah,1,3.0
48,Tamberu Laok,Sokobanah,1,3.0
49,Sokobanah Laok,Sokobanah,1,3.0
50,Bira Timur,Sokobanah,1,3.0
51,Bira Tengah,Sokobanah,1,3.0
52,Tobai Timur,Sokobanah,1,3.0
53,Lepelle,Robatal,1,3.0
54,Bepelle,Robatal,1,3.0
55,Pamorah,Tragah,1,3.0
56,Banyu Bese,Tragah,1,3.0
57,Bungkeng,Tanjung Bumi,1,3.0
58,Bandang Daya,Tanjung Bumi,1,3.0
59,Tagungguh,Tanjung Bumi,1,3.0
60,Planggiran,Tanjung Bumi,1,3.0
61,Basanah,Tanah Merah,1,3.0
62,Poter,Tanah Merah,1,3.0
63,Buddan,Tanah Merah,1,3.0
64,Mrecah,Tanah Merah,1,3.0
65,Dlamba Laok,Tanah Merah,1,3.0
66,Dlambah Dajah,Tanah Merah,1,3.0
67,Batangan,Tanah Merah,1,3.0
68,Rongdurin,Tanah Merah,1,3.0
69,Landak,Tanah Merah,1,3.0
70,Pettong,Tanah Merah,1,3.0
71,Jangkar,Tanah Merah,1,3.0
