No,Desa/Kelurahan,Kecamatan,prasarana,Skala
1,Labang,Labang,3,1
2,Marparan,Sreseh,2,1
3,Pandan Lanjang,Arosbaya,1,0
4,Bira Timur,Sokobanah,1,0
5,Sreseh,Sreseh,1,0
6,Taman  ,Sreseh,1,0
7,Labuhan,Sreseh,1,0
8,Noreh,Sreseh,1,0
9,Tamberu Timur,Sokobanah,1,0
10,Tamberu Barat,Sokobanah,1,0
11,Sokobanah Daya,Sokobanah,1,0
12,Sokobanah Tengah,Sokobanah,1,0
13,Tamberu Daya,Sokobanah,1,0
14,Tamberu Laok,Sokobanah,1,0
15,Sokobanah Laok,Sokobanah,1,0
16,Bira Tengah,Sokobanah,1,0
17,Tobai Timur,Sokobanah,1,0
18,Tobai Tengah,Sokobanah,1,0
19,Tobai Barat,Sokobanah,1,0
20,Pangelen,Sampang,1,0
21,Banyumas,Sampang,1,0
22,Kamoning,Sampang,1,0
23,Tanggumong,Sampang,1,0
24,Pakalongan,Sampang,1,0
25,Taman Sareh,Sampang,1,0
26,Baruh,Sampang,1,0
27,Panggung,Sampang,1,0
28,Disanah,Sreseh,1,0
29,Klobur,Sreseh,1,0
30,Dalpenang,Sampang,1,0
31,Labang,Sreseh,1,0
32,Kara,Torjun,1,0
33,Kanjar,Torjun,1,0
34,Kodak,Torjun,1,0
35,Jeruk Porot,Torjun,1,0
36,Patapan,Torjun,1,0
37,Torjunan,Torjun,1,0
38,Bringin Nonggal,Torjun,1,0
39,Krampon,Torjun,1,0
40,Pangongsean,Torjun,1,0
41,Patarongan,Torjun,1,0
42,Dulang,Torjun,1,0
43,Birem,Tambelangan,1,0
44,Banjar Billah,Tambelangan,1,0
45,Somber,Tambelangan,1,0
46,Tambelangan,Tambelangan,1,0
47,Barung Gagah,Tambelangan,1,0
48,Mambulu Barat,Tambelangan,1,0
49,Bringin,Tambelangan,1,0
50,Samaran,Tambelangan,1,0
51,Karang Anyar,Tambelangan,1,0
52,Batorasang,Tambelangan,1,0
53,Junok,Sreseh,1,0
54,Plasah,Sreseh,1,0
55,Bangsah,Sreseh,1,0
56,Bundah,Sreseh,1,0
57,Paseyan,Sampang,1,0
58,Gunung Sekar,Sampang,1,0
59,Batangan,Tanah Merah,1,0
60,Paseseh,Tanjung Bumi,1,0
61,Tambin,Tragah,1,0
62,Bajeman,Tragah,1,0
63,Soket Laok,Tragah,1,0
64,Kemoneng,Tragah,1,0
65,Alang Alang,Tragah,1,0
66,Aengtabar,Tanjung Bumi,1,0
67,Banyu Sangkah,Tanjung Bumi,1,0
68,Tlangoh,Tanjung Bumi,1,0
69,Macajah,Tanjung Bumi,1,0
70,Tanjung Bumi,Tanjung Bumi,1,0
71,Telaga Biru,Tanjung Bumi,1,0
72,Bumi Anyar,Tanjung Bumi,1,0
73,Keteleng,Tragah,1,0
74,Tambak Pocok,Tanjung Bumi,1,0
75,Larangan Timur,Tanjung Bumi,1,0
76,Bungkeng,Tanjung Bumi,1,0
77,Bandang Daya,Tanjung Bumi,1,0
78,Tagungguh,Tanjung Bumi,1,0
79,Planggiran,Tanjung Bumi,1,0
80,Basanah,Tanah Merah,1,0
81,Poter,Tanah Merah,1,0
82,Buddan,Tanah Merah,1,0
83,Mrecah,Tanah Merah,1,0
84,Dlamba Laok,Tanah Merah,1,0
85,Soket Daya,Tragah,1,0
86,Ja'ah,Tragah,1,0
87,Karang Dalem,Sampang,1,0
88,Sawah tengah,Robatal,1,0
89,Rong Tengah,Sampang,1,0
90,Gng Maddah,Sampang,1,0
91,Banyuanyar,Sampang,1,0
92,Polagan,Sampang,1,0
93,Aeng Sareh,Sampang,1,0
94,P.Mandangin,Sampang,1,0
95,Pandiyangan,Robatal,1,0
96,Gunung Rancak,Robatal,1,0
97,Jelgung,Robatal,1,0
98,Tragih,Robatal,1,0
99,Torjunan,Robatal,1,0
100,Robatal,Robatal,1,0
101,Bancang,Tragah,1,0
102,Lepelle,Robatal,1,0
103,Bepelle,Robatal,1,0
104,Pamorah,Tragah,1,0
105,Banyu Bese,Tragah,1,0
106,Jaddung,Tragah,1,0
107,Dukotambin,Tragah,1,0
108,Karang Leman,Tragah,1,0
109,Tragah,Tragah,1,0
110,Pocong,Tragah,1,0
111,Pacangan,Tragah,1,0
112,Masaran,Tragah,1,0
113,Tana Mera,Torjun,1,0
114,Olor,Banyuates,1,0
115,Planggaran Barat,Banyuates,1,0
116,Planggaran Timur,Banyuates,1,0
117,Ketapang Barat,Ketapang,1,0
118,Ketapang Laok,Ketapang,1,0
119,Ketapang Daya,Ketapang,1,0
120,Ketapang Timur,Ketapang,1,0
121,Bira Barat,Ketapang,1,0
122,Pangereman,Ketapang,1,0
123,Karang Anyar,Ketapang,1,0
124,Pancor,Ketapang,1,0
125,Bunten Timur,Ketapang,1,0
126,Bunten Barat,Ketapang,1,0
127,Paopale laok,Ketapang,1,0
128,Palenggiyen,Kedungdung,1,0
129,Pasarenan,Kedungdung,1,0
130,Daleman,Kedungdung,1,0
131,Gunung Eleh,Kedungdung,1,0
132,Batu poro timur,Kedungdung,1,0
133,Batu poro barat,Kedungdung,1,0
134,Kedungdung,Kedungdung,1,0
135,Pajeruan,Kedungdung,1,0
136,Ombul,Kedungdung,1,0
137,Banjar,Kedungdung,1,0
138,Nyeloh,Kedungdung,1,0
139,Bajrasokah,Kedungdung,1,0
140,Muktesareh,Kedungdung,1,0
141,Rahayu,Kedungdung,1,0
142,Paopale Daya,Ketapang,1,0
143,Rabiyan,Ketapang,1,0
144,Banyu Sokah,Ketapang,1,0
145,Jrangoan,Omben,1,0
146,Pacanggaan,Pangarengan,1,0
147,Penyerangan,Pangarengan,1,0
148,Gulbung,Pangarengan,1,0
149,Apaaan,Pangarengan,1,0
150,Pangarengan,Pangarengan,1,0
151,Karang Gayam,Omben,1,0
152,Rapa Daya,Omben,1,0
153,Pandan,Omben,1,0
154,Rongdalem,Omben,1,0
155,Rapalaok,Omben,1,0
156,Angsokah,Omben,1,0
157,Napo Daya,Omben,1,0
158,Kebun Sareh,Omben,1,0
159,Sogiyan,Omben,1,0
160,Omben,Omben,1,0
161,Temoran,Omben,1,0
162,Tambak,Omben,1,0
163,Kamondung,Omben,1,0
164,Madulang,Omben,1,0
165,Meteng,Omben,1,0
166,Gersempal,Omben,1,0
167,Astapah,Omben,1,0
168,Napolaok,Omben,1,0
169,Karang Nangger,Omben,1,0
170,Rabasan,Kedungdung,1,0
171,Banyukapah,Kedungdung,1,0
172,Komis,Kedungdung,1,0
173,Batioh,Banyuates,1,0
174,Sejati,Camplong,1,0
175,Batu Karang,Camplong,1,0
176,Dharma Camplong,Camplong,1,0
177,Prajjan,Camplong,1,0
178,Tambaan,Camplong,1,0
179,Banjar Talela,Camplong,1,0
180,Taddan,Camplong,1,0
181,Trapang,Banyuates,1,0
182,Jatra Timur,Banyuates,1,0
183,Banyuates,Banyuates,1,0
184,Masaran,Banyuates,1,0
185,Nepa,Banyuates,1,0
186,Rabasan,Camplong,1,0
187,Tebanah,Banyuates,1,0
188,Montor,Banyuates,1,0
189,Morbatoh,Banyuates,1,0
190,Kambang Jeruk,Banyuates,1,0
191,Asem Jaran,Banyuates,1,0
192,Terosan,Banyuates,1,0
193,Tapaan,Banyuates,1,0
194,Nagasareh,Banyuates,1,0
195,Tragah,Banyuates,1,0
196,Lar-lar,Banyuates,1,0
197,Tolang,Banyuates,1,0
198,Dharma Tanjung,Camplong,1,0
199,Banjar Tabulu,Camplong,1,0
200,Kramat,Kedungdung,1,0
201,Jungkarang,Jrengik,1,0
202,Karang penang oloh,Karang penang,1,0
203,Poreh,Karang penang,1,0
204,Bulmatet,Karang penang,1,0
205,Karang penang onjur,Karang penang,1,0
206,Gunung Kesan,Karang penang,1,0
207,Tlambah,Karang penang,1,0
208,Bluuran,Karang penang,1,0
209,Panyepen,Jrengik,1,0
210,Taman,Jrengik,1,0
211,Jrengik,Jrengik,1,0
212,Kotah,Jrengik,1,0
213,Mlaka,Jrengik,1,0
214,Anggersek,Camplong,1,0
215,Bancelok,Jrengik,1,0
216,Buler,Jrengik,1,0
217,Plakaran,Jrengik,1,0
218,Asem Raja,Jrengik,1,0
219,Kalangan Prao,Jrengik,1,0
220,Majangan,Jrengik,1,0
221,Asem Nonggal,Jrengik,1,0
222,Margantoko,Jrengik,1,0
223,Plampaan,Camplong,1,0
224,Pamolaan,Camplong,1,0
225,Madupat,Camplong,1,0
226,Dlambah Dajah,Tanah Merah,1,0
227,Rongdurin,Tanah Merah,1,0
228,Batonaong,Arosbaya,1,0
229,Bragang,Klampis,1,0
230,Sorpa,Galis,1,0
231,Sadah,Galis,1,0
232,Bangpendah,Galis,1,0
233,Banjar,Galis,1,0
234,Lantek Barat,Galis,1,0
235,Lantek Temor,Galis,1,0
236,Telagah,Galis,1,0
237,Kelbung,Galis,1,0
238,Belateran,Galis,1,0
239,Tellok,Galis,1,0
240,Daleman,Galis,1,0
241,Banyubunih,Galis,1,0
242,Longkek,Galis,1,0
243,Pakaandaya,Galis,1,0
244,Separah,Galis,1,0
245,Kranggan Timur,Galis,1,0
246,Paka'An Laok,Galis,1,0
247,Galis,Galis,1,0
248,Paterongan,Galis,1,0
249,Kajuanak,Galis,1,0
250,Pekadan,Galis,1,0
251,Binoh,Burneh,1,0
252,Alas Kembang,Burneh,1,0
253,Perreng,Burneh,1,0
254,Pangolangan,Burneh,1,0
255,Togubang,Geger,1,0
256,Lerpak,Geger,1,0
257,Geger,Geger,1,0
258,Kamal,Kamal,1,0
259,Karang Asem,Klampis,1,0
260,Polongan,Klampis,1,0
261,Muarah,Klampis,1,0
262,Ra'As,Klampis,1,0
263,Tolbuk,Klampis,1,0
264,Pendabah,Kamal,1,0
265,Tellang,Kamal,1,0
266,Gili Anyar,Kamal,1,0
267,Gili Timur,Kamal,1,0
268,Kebun,Kamal,1,0
269,Tanjung Jati,Kamal,1,0
270,Banyu Ajuh,Kamal,1,0
271,Batobella,Geger,1,0
272,Gili Barat,Kamal,1,0
273,Tajungan,Kamal,1,0
274,Banyoneng Dajah,Geger,1,0
275,Banyoneng Laok,Geger,1,0
276,Katol Barat,Geger,1,0
277,Dabung,Geger,1,0
278,Kombangan,Geger,1,0
279,Kampak,Geger,1,0
280,Kompol,Geger,1,0
281,Campor,Geger,1,0
282,Tegerpriyah,Geger,1,0
283,Sobih,Burneh,1,0
284,Arok,Burneh,1,0
285,Kapor,Burneh,1,0
286,Makam Agung,Arosbaya,1,0
287,Demangan,Bangkalan,1,0
288,Pangeranan,Bangkalan,1,0
289,Kemayoran,Bangkalan,1,0
290,Mlajah,Bangkalan,1,0
291,Mertajasah,Bangkalan,1,0
292,Kramat,Bangkalan,1,0
293,Sembilangan,Bangkalan,1,0
294,Ujung Piring,Bangkalan,1,0
295,Tambegan,Arosbaya,1,0
296,Buduran,Arosbaya,1,0
297,Plakaran,Arosbaya,1,0
298,Karang Pao,Arosbaya,1,0
299,Pejagan,Bangkalan,1,0
300,Cendagah,Arosbaya,1,0
301,Berbeluk,Arosbaya,1,0
302,Mangkon,Arosbaya,1,0
303,Dlemer,Arosbaya,1,0
304,Karang Duwak,Arosbaya,1,0
305,Arosbaya,Arosbaya,1,0
306,Tengket,Arosbaya,1,0
307,Lajing,Arosbaya,1,0
308,Balung,Arosbaya,1,0
309,Ombul,Arosbaya,1,0
310,Glagga,Arosbaya,1,0
311,Keraton,Bangkalan,1,0
312,Bancaran,Bangkalan,1,0
313,Benangkah,Burneh,1,0
314,Lomaer,Blega,1,0
315,Langkap,Burneh,1,0
316,Jambu,Burneh,1,0
317,Tonjung,Burneh,1,0
318,Burneh,Burneh,1,0
319,Kajan,Blega,1,0
320,Alasraja,Blega,1,0
321,Nyor Manis,Blega,1,0
322,Blega,Blega,1,0
323,Karangnangka,Blega,1,0
324,Karang Panasan,Blega,1,0
325,Bates,Blega,1,0
326,Karang Gayam,Blega,1,0
327,Sabiyan,Bangkalan,1,0
328,Blegaoloh,Blega,1,0
329,Karpote,Blega,1,0
330,Lombang Daya,Blega,1,0
331,Lombang Laok,Blega,1,0
332,Kampao,Blega,1,0
333,Rosep,Blega,1,0
334,Panjalinan,Blega,1,0
335,Pangeran Gedungan,Blega,1,0
336,Ko'Olan,Blega,1,0
337,Gigir,Blega,1,0
338,Gebang,Bangkalan,1,0
339,Bantean,Klampis,1,0
340,Lergunong,Klampis,1,0
341,Landak,Tanah Merah,1,0
342,Panyaksagan,Klampis,1,0
343,Manggaan,Modung,1,0
344,Karanganyar,Modung,1,0
345,Brakas Dajah,Modung,1,0
346,Modung,Modung,1,0
347,Suwaan,Modung,1,0
348,Langpanggang,Modung,1,0
349,Patengteng,Modung,1,0
350,Serabi Barat,Modung,1,0
351,Serabi Timur,Modung,1,0
352,Neroh,Modung,1,0
353,Paeng,Modung,1,0
354,Kolla,Modung,1,0
355,Patereman,Modung,1,0
356,Pangpajung,Modung,1,0
357,Petapan,Labang,1,0
358,Sendang Daya,Labang,1,0
359,Sendang Laok,Labang,1,0
360,Jukong,Labang,1,0
361,Morkepek,Labang,1,0
362,Ba'Engas,Labang,1,0
363,Bringin,Labang,1,0
364,Bunajih,Labang,1,0
365,Sukolilo Timur,Labang,1,0
366,Sukolilo Barat,Labang,1,0
367,Pangpong,Labang,1,0
368,Glisgis,Modung,1,0
369,Pakong,Modung,1,0
370,Alaskokon,Modung,1,0
371,Tanah Merah Laok,Tanah Merah,1,0
372,Pettong,Tanah Merah,1,0
373,Jangkar,Tanah Merah,1,0
374,Kendaban,Tanah Merah,1,0
375,Tlomar,Tanah Merah,1,0
376,Patemon,Tanah Merah,1,0
377,Dumajah,Tanah Merah,1,0
378,Tanah Merah Daya,Tanah Merah,1,0
379,Petrah,Tanah Merah,1,0
380,Padurungan,Tanah Merah,1,0
381,Pangeleyan,Tanah Merah,1,0
382,Kranggan Barat,Tanah Merah,1,0
383,Baipajung,Tanah Merah,1,0
384,Junganyar,Socah,1,0
385,Pacentan,Tanah Merah,1,0
386,Pernajuh,Socah,1,0
387,Dakiring,Socah,1,0
388,Petaonan,Socah,1,0
389,Keleyan,Socah,1,0
390,Bilaporah,Socah,1,0
391,Parseh,Socah,1,0
392,Sanggra Agung,Socah,1,0
393,Jaddih,Socah,1,0
394,Buluh,Socah,1,0
395,Socah,Socah,1,0
396,Kesek,Labang,1,0
397,Gunung Sereng,Kwanyar,1,0
398,Paoran,Kwanyar,1,0
399,Klampis Timur,Klampis,1,0
400,Banda Soleh,Kokop,1,0
401,Katol Timur,Kokop,1,0
402,Tramok,Kokop,1,0
403,Bandang Laok,Kokop,1,0
404,Mandung,Kokop,1,0
405,Mano'An,Kokop,1,0
406,Durjan,Kokop,1,0
407,Tlokoh,Kokop,1,0
408,Kokop,Kokop,1,0
409,Ampara'an,Kokop,1,0
410,Lembung Gunung,Kokop,1,0
411,Klampis Barat,Klampis,1,0
412,Batokorogan,Kokop,1,0
413,Bator,Klampis,1,0
414,Buluk Agung,Klampis,1,0
415,Mrandung,Klampis,1,0
416,Tobaddung,Klampis,1,0
417,Ko'ol,Klampis,1,0
418,Trogan,Klampis,1,0
419,Bulung,Klampis,1,0
420,Tenggun Daya,Klampis,1,0
421,Larangan Sorjan,Klampis,1,0
422,Manonggal,Klampis,1,0
423,Larangan Glintong,Klampis,1,0
424,Dupok,Kokop,1,0
425,Galis Daya,Konang,1,0
426,Sumur Kuning,Kwanyar,1,0
427,Kwanyar Barat,Kwanyar,1,0
428,Morombuh,Kwanyar,1,0
429,Ketetang,Kwanyar,1,0
430,Dlemer,Kwanyar,1,0
431,Janteh,Kwanyar,1,0
432,Karang Entang,Kwanyar,1,0
433,Pandanan,Kwanyar,1,0
434,Duwek Buter,Kwanyar,1,0
435,Batah Timur,Kwanyar,1,0
436,Batah Barat,Kwanyar,1,0
437,Karanganyar,Kwanyar,1,0
438,Pasanggrahan,Kwanyar,1,0
439,Tebul,Kwanyar,1,0
440,Durin Barat,Konang,1,0
441,Genteng,Konang,1,0
442,Cangkarman,Konang,1,0
443,Sambiyan,Konang,1,0
444,Campor,Konang,1,0
445,Senasen,Konang,1,0
446,Konang,Konang,1,0
447,Bandung,Konang,1,0
448,Pakes,Konang,1,0
449,Durin Timur,Konang,1,0
450,Batokaban,Konang,1,0
451,Kanegarah,Konang,1,0
452,Ragung,Pangarengan,1,0
