No,Desa/Kelurahan,Kecamatan,wisatawanmanca,Skala
1,Batioh,Banyuates,8,3
2,Ketapang Daya,Ketapang,9,3
3,Dharma Camplong,Camplong,6,3
4,Mertajasah,Bangkalan,50,3
5,Demangan,Bangkalan,4,2
6,Bira Timur,Sokobanah,2,1
7,P.Mandangin,Sampang,3,1
8,Tamberu Barat,Sokobanah,0,0
9,Sokobanah Tengah,Sokobanah,0,0
10,Sokobanah Daya,Sokobanah,0,0
11,Noreh,Sreseh,0,0
12,Tamberu Timur,Sokobanah,0,0
13,Tamberu Laok,Sokobanah,0,0
14,Labuhan,Sreseh,0,0
15,Taman  ,Sreseh,0,0
16,Sreseh,Sreseh,0,0
17,Tamberu Daya,Sokobanah,0,0
18,Pandan Lanjang,Arosbaya,0,0
19,Marparan,Sreseh,0,0
20,Sokobanah Laok,Sokobanah,0,0
21,Bira Tengah,Sokobanah,0,0
22,Tobai Timur,Sokobanah,0,0
23,Tobai Tengah,Sokobanah,0,0
24,Tobai Barat,Sokobanah,0,0
25,Pangelen,Sampang,0,0
26,Banyumas,Sampang,0,0
27,Kamoning,Sampang,0,0
28,Tanggumong,Sampang,0,0
29,Pakalongan,Sampang,0,0
30,Taman Sareh,Sampang,0,0
31,Baruh,Sampang,0,0
32,Disanah,Sreseh,0,0
33,Labang,Sreseh,0,0
34,Klobur,Sreseh,0,0
35,Banjar Billah,Tambelangan,0,0
36,Kanjar,Torjun,0,0
37,Kodak,Torjun,0,0
38,Jeruk Porot,Torjun,0,0
39,Patapan,Torjun,0,0
40,Torjunan,Torjun,0,0
41,Bringin Nonggal,Torjun,0,0
42,Krampon,Torjun,0,0
43,Pangongsean,Torjun,0,0
44,Patarongan,Torjun,0,0
45,Dulang,Torjun,0,0
46,Birem,Tambelangan,0,0
47,Somber,Tambelangan,0,0
48,Paseyan,Sampang,0,0
49,Tambelangan,Tambelangan,0,0
50,Barung Gagah,Tambelangan,0,0
51,Mambulu Barat,Tambelangan,0,0
52,Bringin,Tambelangan,0,0
53,Samaran,Tambelangan,0,0
54,Karang Anyar,Tambelangan,0,0
55,Batorasang,Tambelangan,0,0
56,Junok,Sreseh,0,0
57,Plasah,Sreseh,0,0
58,Bangsah,Sreseh,0,0
59,Bundah,Sreseh,0,0
60,Panggung,Sampang,0,0
61,Gunung Sekar,Sampang,0,0
62,Dalpenang,Sampang,0,0
63,Paseseh,Tanjung Bumi,0,0
64,Tambin,Tragah,0,0
65,Bajeman,Tragah,0,0
66,Soket Laok,Tragah,0,0
67,Kemoneng,Tragah,0,0
68,Alang Alang,Tragah,0,0
69,Aengtabar,Tanjung Bumi,0,0
70,Banyu Sangkah,Tanjung Bumi,0,0
