No,Desa/Kelurahan,Kecamatan,wisata_nusantara,Skala
1,Dalpenang,Sampang,9539,3
2,Gng Maddah,Sampang,1512,3
3,Polagan,Sampang,9539,3
4,Dharma Camplong,Camplong,42448,3
5,P.Mandangin,Sampang,9539,3
6,Jaddih,Socah,4767,3
7,Tambaan,Camplong,3019,3
8,Parseh,Socah,1003,3
9,Taddan,Camplong,42448,3
10,Burneh,Burneh,2322,3
11,Pernajuh,Socah,1606,3
12,Tanah Merah Laok,Tanah Merah,626016,3
13,Tamberu Daya,Sokobanah,9539,3
14,Kwanyar Barat,Kwanyar,1538,3
15,Ketapang Daya,Ketapang,28370,3
16,Ketapang Laok,Ketapang,1512,3
17,Ketapang Barat,Ketapang,10445,3
18,Banyuanyar,Sampang,1999,3
19,Manggaan,Modung,969,3
20,Montor,Banyuates,1999,3
21,Rong Tengah,Sampang,2532,3
22,Morkepek,Labang,969,3
23,Bira Timur,Sokobanah,11180,3
24,Geger,Geger,3236,3
25,Bira Tengah,Sokobanah,1512,3
26,Tamberu Barat,Sokobanah,3447,3
27,Kamal,Kamal,2301,3
28,Ketetang,Kwanyar,1558,3
29,Gili Timur,Kamal,2301,3
30,Daleman,Galis,979,3
31,Banyubunih,Galis,1217,3
32,Kramat,Kedungdung,1999,3
33,Sejati,Camplong,1512,3
34,Klobur,Sreseh,28370,3
35,Gunung Sekar,Sampang,8496,3
36,Karang Dalem,Sampang,1999,3
37,Rabiyan,Ketapang,6903,3
38,Batioh,Banyuates,28370,3
39,Genteng,Konang,2301,3
40,Keraton,Bangkalan,607682,3
41,Tanjung Bumi,Tanjung Bumi,2322,3
42,Macajah,Tanjung Bumi,11499,3
43,Pangarengan,Pangarengan,9539,3
44,Durjan,Kokop,969,3
45,Bator,Klampis,1892,3
46,Buduran,Arosbaya,1750,3
47,Sembilangan,Bangkalan,1606,3
48,Temoran,Omben,1512,3
49,Mertajasah,Bangkalan,607682,3
50,Mlajah,Bangkalan,29862,3
51,Kemayoran,Bangkalan,969,3
52,Pangeranan,Bangkalan,3212,3
53,Demangan,Bangkalan,23474,3
54,Ujung Piring,Bangkalan,978,3
55,Pejagan,Bangkalan,626016,3
56,Napolaok,Omben,9523,3
57,Bancaran,Bangkalan,3212,3
58,Tambak,Omben,3019,3
59,Patemon,Tanah Merah,978,3
60,Pocong,Tragah,626016,3
61,Bundah,Sreseh,0,0
62,Labuhan,Sreseh,0,0
63,Bringin,Tambelangan,0,0
64,Krampon,Torjun,0,0
65,Sreseh,Sreseh,0,0
66,Taman  ,Sreseh,0,0
67,Tamberu Timur,Sokobanah,0,0
68,Noreh,Sreseh,0,0
69,Pangongsean,Torjun,0,0
70,Bringin Nonggal,Torjun,0,0
